transaction_id,customer_id,merchant_id,transaction_time,amount,country,city,payment_method,status,device_id,ip_address
TXN1036024,1593,10,2025-01-01 00:01:26,4210.27,Singapore,Singapore,UPI,FAILED,59609,56.167.198.99
TXN1024284,1885,51,2025-01-01 00:02:00,2302.81,India,Mumbai,UPI,SUCCESS,14422,166.74.207.20
TXN1030530,1606,297,2025-01-01 00:03:38,1422.2,India,Delhi,UPI,SUCCESS,62976,211.118.103.239
TXN1008220,752,244,2025-01-01 00:04:05,932.64,India,Hyderabad,UPI,SUCCESS,10986,178.164.237.57
TXN1015332,1974,68,2025-01-01 00:05:10,1723.17,India,Mumbai,UPI,SUCCESS,48443,244.177.210.59
TXN1047658,1830,261,2025-01-01 00:07:27,2601.29,India,Delhi,UPI,SUCCESS,72538,85.211.136.101
TXN1028440,613,181,2025-01-01 00:07:49,4067.81,India,Mumbai,UPI,SUCCESS,18612,29.80.40.232
TXN1006128,1097,162,2025-01-01 00:08:45,585.35,India,Bangalore,UPI,SUCCESS,60355,214.246.28.41
TXN1000619,1082,283,2025-01-01 00:09:54,196.54,India,Mumbai,Wallet,SUCCESS,17006,201.187.227.155
TXN1004612,1857,113,2025-01-01 00:11:42,105.59,India,Pune,UPI,SUCCESS,22105,31.79.251.82
TXN1004578,1821,251,2025-01-01 00:12:50,8385.05,India,Pune,Credit Card,SUCCESS,77687,221.212.79.170
TXN1017521,1551,188,2025-01-01 00:13:14,638.74,India,Mumbai,UPI,SUCCESS,70644,251.64.162.123
TXN1013829,384,23,2025-01-01 00:13:26,1033.99,India,Bangalore,Wallet,SUCCESS,77774,122.132.142.50
TXN1003056,857,129,2025-01-01 00:13:30,11284.4,India,Mumbai,NetBanking,SUCCESS,59224,102.211.218.65
TXN1027349,1826,184,2025-01-01 00:14:08,1967.8,India,Delhi,UPI,SUCCESS,67677,117.160.183.170
TXN1000075,92,134,2025-01-01 00:14:08,8981.61,India,Mumbai,Credit Card,SUCCESS,55251,18.197.13.73
TXN1000862,339,62,2025-01-01 00:16:58,664.93,India,Delhi,Debit Card,FAILED,10541,160.181.219.85
TXN1025510,128,174,2025-01-01 00:17:14,2965.41,India,Delhi,NetBanking,SUCCESS,80956,26.180.116.112
TXN1045921,86,203,2025-01-01 00:17:15,4843.97,India,Delhi,UPI,SUCCESS,68478,139.54.30.94
TXN1019172,222,283,2025-01-01 00:18:03,2781.15,India,Mumbai,Debit Card,SUCCESS,98104,15.123.146.237
TXN1001681,286,29,2025-01-01 00:19:12,5958.25,USA,New York,UPI,SUCCESS,79278,71.50.221.251
