txn_date,total_transactions,suspicious_transactions,total_amount,suspicious_amount,fraud_rate_pct
2025-01-01,1592,75,5424338.97,2426357.91,4.71
2025-01-02,1632,68,4844793.32,1680983.9,4.17
2025-01-03,1538,74,4930505.96,2010086.6800000002,4.81
2025-01-04,1600,78,4731972.92,1750405.8100000003,4.88
2025-01-05,1623,79,5662653.51,2551260.29,4.87
2025-01-06,1584,67,4038281.64,1047603.56,4.23
2025-01-07,1577,73,4745870.25,1788533.7899999998,4.63
2025-01-08,1522,56,4219457.2,1275076.23,3.68
2025-01-09,1663,77,4643509.98,1420528.8300000003,4.63
2025-01-10,1690,82,5499123.79,2426242.3399999994,4.85
2025-01-11,1628,87,5580516.36,2596398.1799999997,5.34
2025-01-12,1586,70,5703415.17,2713916.4799999995,4.41
2025-01-13,1644,88,4817295.23,1944294.84,5.35
2025-01-14,1638,60,5114259.43,1958138.95,3.66
2025-01-15,1628,77,4690065.03,1550058.1000000003,4.73
2025-01-16,1568,74,4475279.68,1423721.27,4.72
2025-01-17,1599,88,4613445.22,1691776.1400000001,5.5
2025-01-18,1577,80,5295959.92,2353260.8499999996,5.07
2025-01-19,1655,77,5762008.4,2651079.68,4.65
2025-01-20,1622,67,4270702.26,1232084.78,4.13
2025-01-21,1600,67,4941853.74,1946088.6700000004,4.19
2025-01-22,1652,69,6476326.73,3296635.61,4.18
2025-01-23,1637,90,5802301.03,2728119.2200000007,5.5
2025-01-24,1617,93,5810345.03,2823701.5100000007,5.75
2025-01-25,1617,65,4747514.13,1709080.1399999997,4.02
2025-01-26,1600,78,5359872.38,2475309.78,4.88
2025-01-27,1642,56,4257159.88,1191053.74,3.41
2025-01-28,1636,75,5826800.68,2696874.4899999998,4.58
2025-01-29,1582,80,5204622.3,2147569.9,5.06
2025-01-30,1643,73,5199086.07,2157152.4899999998,4.44
2025-01-31,1608,45,4093553.7,978521.19,2.8
