transaction_id,customer_id,merchant_id,transaction_time,amount,country,city,payment_method,status,device_id,ip_address,flag_high_amount,txn_count_10min,flag_velocity_10min,prev_txn_time_same_merchant,time_diff_min_same_merchant,flag_same_merchant_5min,flag_odd_hour,home_country,flag_location_change,is_failed,failed_count_15min,flag_failed_then_success,fraud_score,risk_level,fraud_reasons
TXN1015742,1,177,2025-01-27 07:37:09,114737.17,India,Mumbai,Credit Card,FAILED,11282,29.20.113.180,1,1.0,0,,,0,0,India,0,1,1.0,0,3,Medium,high_amount
TXN1002988,2,293,2025-01-15 01:40:36,35.15,UK,Manchester,UPI,SUCCESS,11614,172.163.179.80,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1018636,2,158,2025-01-25 22:48:11,182930.09,India,Delhi,NetBanking,SUCCESS,10172,174.217.25.69,1,1.0,0,,,0,0,India,0,0,0.0,0,3,Medium,high_amount
TXN1024478,4,207,2025-01-04 19:39:21,114843.97,India,Delhi,UPI,SUCCESS,98526,235.230.206.69,1,1.0,0,,,0,0,India,0,0,0.0,0,3,Medium,high_amount
TXN1047561,4,73,2025-01-21 02:37:36,300.24,Singapore,Singapore,UPI,SUCCESS,46339,197.64.1.96,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1031737,4,116,2025-01-31 03:01:10,925.67,Singapore,Singapore,Debit Card,SUCCESS,32292,173.246.99.5,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1008285,7,27,2025-01-21 01:58:51,1977.44,USA,San Francisco,Credit Card,SUCCESS,11923,180.85.29.70,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1030649,9,207,2025-01-17 02:41:09,4076.23,USA,San Francisco,Debit Card,SUCCESS,70977,186.123.32.232,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1007995,12,127,2025-01-07 04:41:29,4287.26,USA,Dallas,UPI,SUCCESS,42709,57.141.49.28,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1016564,12,289,2025-01-23 00:35:22,2561.92,USA,Dallas,UPI,FAILED,81052,33.121.160.44,0,1.0,0,,,0,1,India,1,1,1.0,0,3,Medium,"odd_hour,location_change"
TXN1043350,13,269,2025-01-06 01:29:07,572.11,Singapore,Singapore,NetBanking,SUCCESS,21089,15.115.55.221,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1017066,13,211,2025-01-23 11:07:45,161608.36,India,Bangalore,UPI,SUCCESS,45157,83.233.102.1,1,1.0,0,,,0,0,India,0,0,0.0,0,3,Medium,high_amount
TXN1044977,14,250,2025-01-10 00:30:50,4895.68,USA,San Francisco,Debit Card,SUCCESS,93012,57.205.70.248,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1008568,15,98,2025-01-03 20:03:34,174746.89,India,Bangalore,UPI,SUCCESS,99109,29.212.223.2,1,1.0,0,,,0,0,India,0,0,0.0,0,3,Medium,high_amount
TXN1040234,15,235,2025-01-31 02:09:34,2380.04,Singapore,Singapore,UPI,SUCCESS,43443,111.32.149.117,0,2.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1020065,16,45,2025-01-11 01:32:26,651.81,UK,Manchester,Debit Card,SUCCESS,53812,124.134.211.145,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1022116,16,214,2025-01-16 03:40:33,1756.13,USA,San Francisco,UPI,SUCCESS,91809,89.217.134.230,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1024102,19,269,2025-01-13 12:01:13,154431.69,India,Pune,UPI,FAILED,92914,127.114.52.215,1,1.0,0,,,0,0,India,0,1,1.0,0,3,Medium,high_amount
TXN1035040,19,187,2025-01-23 04:58:38,94.02,UK,London,Debit Card,SUCCESS,41958,22.34.81.203,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1024352,20,149,2025-01-21 04:07:58,851.64,UK,Manchester,Debit Card,SUCCESS,74070,76.81.87.74,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1034895,22,236,2025-01-09 01:39:27,1374.75,UAE,Abu Dhabi,Credit Card,FAILED,53769,200.231.98.190,0,1.0,0,,,0,1,India,1,1,1.0,0,3,Medium,"odd_hour,location_change"
TXN1008488,22,249,2025-01-16 01:40:42,4977.83,USA,Dallas,Wallet,SUCCESS,93985,135.9.138.220,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1016583,24,20,2025-01-02 03:19:43,5999.86,UAE,Abu Dhabi,NetBanking,SUCCESS,26517,60.191.8.108,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1001634,25,226,2025-01-04 02:27:42,1324.46,UK,Manchester,Credit Card,SUCCESS,35226,221.114.64.168,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1016948,26,259,2025-01-13 01:21:36,1033.69,USA,New York,Debit Card,SUCCESS,63719,147.201.188.110,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1039080,28,28,2025-01-03 00:00:00,2582.55,USA,San Francisco,Debit Card,SUCCESS,20601,54.21.134.168,0,1.0,0,,,0,1,India,1,0,0.0,0,3,Medium,"odd_hour,location_change"
TXN1014982,28,20,2025-01-03 00:05:00,807.48,India,Hyderabad,UPI,SUCCESS,58980,20.205.160.36,0,4.0,1,,,0,1,India,0,0,1.0,0,3,Medium,"velocity_10min,odd_hour"
