transaction_id,customer_id,merchant_id,transaction_time,amount,country,status,fraud_score,risk_level,fraud_reasons
TXN1004053,1820,100,2025-01-12 02:47:21,72970.7,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1046662,460,153,2025-01-10 04:42:58,134360.08,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1045971,794,219,2025-01-05 01:07:01,139718.09,Singapore,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1022479,161,192,2025-01-16 02:18:19,63075.03,USA,FAILED,6,High,"high_amount,odd_hour,location_change"
TXN1031169,1008,82,2025-01-27 03:25:31,84356.98,UAE,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1049963,759,251,2025-01-27 04:01:56,194015.8,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1001684,1043,62,2025-01-31 01:49:15,118143.31,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1015233,739,12,2025-01-16 00:07:19,148054.74,UAE,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1043237,1074,191,2025-01-12 04:26:55,73942.9,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1006264,1263,168,2025-01-16 04:40:34,125605.09,UK,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1021485,1284,218,2025-01-23 03:37:33,131054.04,UK,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1024845,571,298,2025-01-24 01:17:02,82268.24,Singapore,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1034507,876,71,2025-01-13 04:50:06,133166.58,Singapore,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1002629,1388,62,2025-01-22 01:05:00,65434.02,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1038585,565,93,2025-01-21 03:01:38,147997.17,Singapore,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1012613,824,269,2025-01-26 02:03:56,113212.05,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1016932,187,298,2025-01-24 02:12:48,198315.79,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1045826,1459,161,2025-01-23 01:39:45,176720.89,UK,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1005920,338,142,2025-01-17 02:22:31,168123.18,USA,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1004417,232,184,2025-01-21 02:34:55,166772.73,UK,SUCCESS,6,High,"high_amount,odd_hour,location_change"
TXN1015230,1539,180,2025-01-01 14:39:18,187118.84,Singapore,SUCCESS,5,High,"high_amount,location_change"
TXN1045277,879,83,2025-01-18 09:04:24,88801.32,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1002352,947,208,2025-01-17 05:47:42,69631.15,UAE,FAILED,5,High,"high_amount,location_change"
TXN1016627,1798,56,2025-01-05 19:25:45,158591.85,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1029687,1671,290,2025-01-26 11:35:41,170093.22,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1020149,1614,161,2025-01-09 11:07:54,130452.63,Singapore,SUCCESS,5,High,"high_amount,location_change"
TXN1029219,1600,273,2025-01-17 12:50:53,93547.35,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1043336,1432,26,2025-01-07 10:38:41,115312.57,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1001719,1373,10,2025-01-08 19:38:29,144339.33,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1041070,1088,127,2025-01-28 14:11:38,127708.26,Singapore,SUCCESS,5,High,"high_amount,location_change"
TXN1029816,1131,193,2025-01-11 16:28:46,170005.73,USA,FAILED,5,High,"high_amount,location_change"
TXN1002170,1144,98,2025-01-11 19:08:49,195942.45,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1018364,1237,179,2025-01-01 11:24:37,120347.57,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1000111,1486,10,2025-01-31 23:01:14,144864.2,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1017408,1458,23,2025-01-26 07:38:09,146247.81,Singapore,SUCCESS,5,High,"high_amount,location_change"
TXN1020232,1370,125,2025-01-23 20:36:38,132847.87,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1028182,1075,114,2025-01-16 07:23:10,75294.43,Singapore,SUCCESS,5,High,"high_amount,location_change"
TXN1028989,150,7,2025-01-24 08:21:33,131483.78,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1015114,838,249,2025-01-11 16:54:20,98848.97,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1006025,817,195,2025-01-24 10:01:07,117984.69,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1004742,201,134,2025-01-13 18:38:06,144921.64,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1021246,204,247,2025-01-16 05:35:42,95211.07,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1044439,261,138,2025-01-09 16:54:31,174876.54,UK,SUCCESS,5,High,"high_amount,location_change"
TXN1003867,261,140,2025-01-19 16:44:19,92968.94,UAE,SUCCESS,5,High,"high_amount,location_change"
TXN1033839,316,221,2025-01-22 09:32:30,147460.18,USA,SUCCESS,5,High,"high_amount,location_change"
TXN1034205,345,184,2025-01-30 03:06:00,811.72,USA,SUCCESS,5,High,"velocity_10min,odd_hour,location_change"
TXN1021364,382,57,2025-01-07 03:05:00,1248.31,USA,SUCCESS,5,High,"velocity_10min,odd_hour,location_change"
