customer_id,suspicious_txn_count,total_suspicious_amount,avg_suspicious_amount,max_fraud_score
1788,7,25818.95,3688.421428571429,3
837,7,20895.920000000002,2985.131428571429,3
998,6,409543.39,68257.23166666667,4
382,6,13353.24,2225.54,5
1280,6,8156.52,1359.42,3
1549,6,10748.289999999999,1791.3816666666664,4
1283,6,6530.759999999999,1088.4599999999998,4
186,6,7540.38,1256.73,3
28,6,12057.59,2009.5983333333334,3
612,5,171064.93,34212.986,5
1091,5,10846.25,2169.25,3
1443,5,78085.21,15617.042000000001,4
345,5,9646.2,1929.2400000000002,5
1392,5,11575.92,2315.184,3
1781,5,4391.0599999999995,878.2119999999999,3
1959,5,88190.66,17638.132,3
480,5,11921.98,2384.3959999999997,5
115,5,5854.030000000001,1170.806,4
876,5,322570.45,64514.090000000004,6
460,5,137516.82,27503.364,6
610,4,169495.94999999998,42373.987499999996,3
892,4,94893.62,23723.405,3
1877,4,126561.22,31640.305,3
901,4,142699.27,35674.8175,3
79,4,9253.81,2313.4525,3
1172,4,5983.25,1495.8125,3
268,4,9002.15,2250.5375,3
134,4,7469.0199999999995,1867.2549999999999,3
919,4,76783.13,19195.7825,3
1650,4,253822.33000000002,63455.582500000004,4
627,4,472153.0,118038.25,4
1070,4,79559.78,19889.945,3
1328,4,14120.98,3530.245,3
1312,4,81954.29,20488.5725,3
565,4,228483.39,57120.8475,6
1800,4,15926.18,3981.545,3
1824,4,162061.95,40515.4875,3
1822,4,3976.46,994.115,3
1063,4,106106.54000000001,26526.635000000002,3
1034,4,3444.97,861.2425,3
387,4,16710.98,4177.745,3
842,4,346892.61,86723.1525,3
217,4,5741.86,1435.465,3
1477,4,208703.91,52175.9775,3
723,4,222180.38,55545.095,3
1185,4,107151.81999999999,26787.954999999998,4
1971,4,3331.7999999999997,832.9499999999999,3
743,4,90298.83,22574.7075,4
291,4,8862.58,2215.645,4
454,4,8171.49,2042.8725,3
296,4,55901.909999999996,13975.477499999999,3
1199,4,11349.72,2837.43,3
1771,4,90718.84,22679.71,4
310,4,12107.04,3026.76,3
269,4,4734.69,1183.6725,3
1505,4,60113.82,15028.455,3
1607,4,10842.18,2710.545,3
55,4,7404.05,1851.0125,3
221,4,8705.34,2176.335,3
232,4,172513.21000000002,43128.302500000005,6
1907,4,8603.69,2150.9225,3
1421,4,6774.42,1693.605,4
1077,4,270245.97,67561.4925,3
1909,4,10198.62,2549.655,4
1252,3,5524.62,1841.54,3
435,3,8437.01,2812.3366666666666,3
434,3,111044.32,37014.77333333334,4
452,3,91337.00000000001,30445.66666666667,4
1204,3,9079.0,3026.3333333333335,3
1250,3,4685.54,1561.8466666666666,3
1202,3,216343.22999999998,72114.40999999999,3
1242,3,6318.33,2106.11,3
1235,3,89158.72,29719.573333333334,3
438,3,58226.76,19408.920000000002,3
